,date,top_artists,top_1,top_2,top_3
191,2023-07-11,"['George Michael', 'Taylor Swift', 'Ryan Gosling']",George Michael,Taylor Swift,Ryan Gosling
192,2023-07-12,"['Amy Winehouse', 'Taylor Swift', 'George Michael']",Amy Winehouse,Taylor Swift,George Michael
193,2023-07-13,"['George Michael', 'Taylor Swift', 'Ryan Gosling']",George Michael,Taylor Swift,Ryan Gosling
194,2023-07-14,"['Taylor Swift', 'George Michael', 'Florence Pugh']",Taylor Swift,George Michael,Florence Pugh
195,2023-07-15,"['George Michael', 'Taylor Swift', 'Ray Davies']",George Michael,Taylor Swift,Ray Davies
196,2023-07-16,"['Jane Birkin', 'Charlotte Gainsbourg', 'Lou Doillon']",Jane Birkin,Charlotte Gainsbourg,Lou Doillon
197,2023-07-17,"['Jane Birkin', 'Charlotte Gainsbourg', 'Lou Doillon']",Jane Birkin,Charlotte Gainsbourg,Lou Doillon
198,2023-07-18,"['Jane Birkin', 'Taylor Swift', 'XXXTentacion']",Jane Birkin,Taylor Swift,XXXTentacion
199,2023-07-19,"['Tupac Shakur', 'Jane Birkin', 'Ryan Gosling']",Tupac Shakur,Jane Birkin,Ryan Gosling
200,2023-07-20,"['Ethan Slater', 'Ryan Gosling', 'Taylor Swift']",Ethan Slater,Ryan Gosling,Taylor Swift
201,2023-07-21,"['Ryan Gosling', 'Florence Pugh', 'Ethan Slater']",Ryan Gosling,Florence Pugh,Ethan Slater
202,2023-07-22,"['Ryan Gosling', 'Florence Pugh', 'Taylor Swift']",Ryan Gosling,Florence Pugh,Taylor Swift
203,2023-07-23,"['Ryan Gosling', 'Florence Pugh', 'Taylor Swift']",Ryan Gosling,Florence Pugh,Taylor Swift
204,2023-07-24,"['Ryan Gosling', 'Florence Pugh', 'Taylor Swift']",Ryan Gosling,Florence Pugh,Taylor Swift
205,2023-07-25,"['Ryan Gosling', 'Florence Pugh', 'Taylor Swift']",Ryan Gosling,Florence Pugh,Taylor Swift
206,2023-07-26,"['Mick Jagger', 'Ryan Gosling', 'Peter Gabriel']",Mick Jagger,Ryan Gosling,Peter Gabriel
207,2023-07-27,"['Ryan Gosling', 'Ethan Slater', 'Peter Gabriel']",Ryan Gosling,Ethan Slater,Peter Gabriel
208,2023-07-28,"['Ryan Gosling', 'Travis Scott', 'Ethan Slater']",Ryan Gosling,Travis Scott,Ethan Slater
209,2023-07-29,"['Ryan Gosling', 'Taylor Swift', 'Florence Pugh']",Ryan Gosling,Taylor Swift,Florence Pugh
210,2023-07-30,"['Ryan Gosling', 'Florence Pugh', 'Taylor Swift']",Ryan Gosling,Florence Pugh,Taylor Swift
211,2023-07-31,"['Ryan Gosling', 'Florence Pugh', 'Taylor Swift']",Ryan Gosling,Florence Pugh,Taylor Swift
212,2023-08-01,"['Ryan Gosling', 'Zendaya', 'Taylor Swift']",Ryan Gosling,Zendaya,Taylor Swift
213,2023-08-02,"['Lizzo', 'Ryan Gosling', 'Taylor Swift']",Lizzo,Ryan Gosling,Taylor Swift
214,2023-08-03,"['Lizzo', 'Jisoo', 'Taylor Swift']",Lizzo,Jisoo,Taylor Swift
215,2023-08-04,"['Taylor Swift', 'Ryan Gosling', 'Lizzo']",Taylor Swift,Ryan Gosling,Lizzo
216,2023-08-05,"['Taylor Swift', 'Ryan Gosling', 'Alia Bhatt']",Taylor Swift,Ryan Gosling,Alia Bhatt
217,2023-08-06,"['Taylor Swift', 'Ryan Gosling', 'Alia Bhatt']",Taylor Swift,Ryan Gosling,Alia Bhatt
218,2023-08-07,"['Taylor Swift', 'Ryan Gosling', 'Alia Bhatt']",Taylor Swift,Ryan Gosling,Alia Bhatt
219,2023-08-08,"['Wayne Brady', 'Taylor Swift', 'Ryan Gosling']",Wayne Brady,Taylor Swift,Ryan Gosling
220,2023-08-09,"['Tory Lanez', 'Megan Thee Stallion', 'Taylor Swift']",Tory Lanez,Megan Thee Stallion,Taylor Swift
221,2023-08-10,"['Taylor Swift', 'The Band', 'Rajinikanth']",Taylor Swift,The Band,Rajinikanth
222,2023-08-11,"['Taylor Swift', 'Alia Bhatt', 'Rajinikanth']",Taylor Swift,Alia Bhatt,Rajinikanth
223,2023-08-12,"['Alia Bhatt', 'Taylor Swift', 'Rajinikanth']",Alia Bhatt,Taylor Swift,Rajinikanth
224,2023-08-13,"['Alia Bhatt', 'Taylor Swift', 'Rajinikanth']",Alia Bhatt,Taylor Swift,Rajinikanth
225,2023-08-14,"['Alia Bhatt', 'Taylor Swift', 'Rajinikanth']",Alia Bhatt,Taylor Swift,Rajinikanth
226,2023-08-15,"['Zooey Deschanel', 'Alia Bhatt', 'Taylor Swift']",Zooey Deschanel,Alia Bhatt,Taylor Swift
